date,open,high,low,close,volume
2024-12-11,128.52000427246094,131.2100067138672,126.22000122070312,130.14999389648438,45588100
2024-12-12,130.0,132.32000732421875,129.07000732421875,130.60000610351562,34267100
2024-12-13,131.3000030517578,131.3000030517578,124.7699966430664,126.91000366210938,67544700
2024-12-16,126.01000213623047,127.76000213623047,123.12000274658203,126.69000244140625,42090300
2024-12-17,124.44999694824219,127.08000183105469,123.1500015258789,125.0199966430664,43314900
2024-12-18,125.43000030517578,127.75,120.43000030517578,121.41000366210938,49724400
2024-12-19,122.16000366210938,123.37999725341797,118.44999694824219,118.87999725341797,46160700
2024-12-20,118.0,121.86000061035156,117.9000015258789,119.20999908447266,53591200
2024-12-23,120.70999908447266,126.33999633789062,120.47000122070312,124.5999984741211,47777900
2024-12-24,127.51000213623047,127.51000213623047,124.66000366210938,126.29000091552734,24829600
2024-12-26,125.5199966430664,127.30000305175781,125.05000305175781,125.05999755859375,24998200
2024-12-27,124.37000274658203,126.18000030517578,122.26000213623047,125.19000244140625,32924000
2024-12-30,123.55999755859375,124.0999984741211,122.3499984741211,122.44000244140625,30501600
2024-12-31,123.0999984741211,123.55000305175781,120.13999938964844,120.79000091552734,30203400
2025-01-02,122.29000091552734,123.13999938964844,119.44000244140625,120.62999725341797,34256200
2025-01-03,121.6500015258789,125.55999755859375,121.41999816894531,125.37000274658203,36785300
2025-01-06,129.07000732421875,130.72999572753906,127.36000061035156,129.5500030517578,48020200
2025-01-07,130.50999450683594,131.7100067138672,126.8499984741211,127.33000183105469,39220400
2025-01-08,124.51000213623047,125.30000305175781,120.12000274658203,121.83999633789062,46723100
2025-01-10,118.18000030517578,118.70999908447266,114.44999694824219,116.04000091552734,59415600
2025-01-13,115.27999877929688,117.4800033569336,114.41000366210938,117.31999969482422,39128900
2025-01-14,118.0,118.66000366210938,114.5,116.08999633789062,37005300
2025-01-15,117.55000305175781,120.41999816894531,117.45999908447266,119.95999908447266,38185800
2025-01-16,120.23999786376953,121.08999633789062,118.25,118.44000244140625,29414100
2025-01-17,120.77999877929688,122.73999786376953,120.55000305175781,121.45999908447266,35765900
2025-01-21,122.38999938964844,123.75,121.12000274658203,122.27999877929688,31578800
2025-01-22,123.08000183105469,125.6500015258789,121.91000366210938,123.75,35023800
2025-01-23,121.43000030517578,123.70999908447266,120.62999725341797,123.04000091552734,24921100
2025-01-24,124.55000305175781,125.25,122.2300033569336,122.83999633789062,31570300
2025-01-27,117.80000305175781,118.08000183105469,112.80000305175781,115.01000213623047,61067900
2025-01-28,115.18000030517578,116.1500015258789,112.94999694824219,114.16999816894531,40554800
2025-01-29,115.7699966430664,118.5199966430664,114.95999908447266,117.3499984741211,40199100
2025-01-30,118.52999877929688,120.44000244140625,117.08999633789062,118.86000061035156,29788400
2025-01-31,119.13999938964844,119.56999969482422,115.33000183105469,115.94999694824219,40533600
2025-02-03,113.87999725341797,115.16000366210938,112.9800033569336,114.2699966430664,34586100
2025-02-04,115.44999694824219,119.8499984741211,114.79000091552734,119.5,69412100
2025-02-05,107.61000061035156,112.08999633789062,106.5,112.01000213623047,110385200
2025-02-06,110.93000030517578,112.55999755859375,109.0199966430664,110.16000366210938,50426600
2025-02-07,109.12999725341797,109.91999816894531,106.79000091552734,107.55999755859375,46082500
2025-02-10,108.44000244140625,111.4000015258789,108.1500015258789,110.4800033569336,34905400
2025-02-11,108.9800033569336,113.06999969482422,108.94000244140625,111.0999984741211,35033800
2025-02-12,109.5199966430664,111.83999633789062,109.05999755859375,111.72000122070312,25319700
2025-02-13,112.0,114.5999984741211,110.4000015258789,111.80999755859375,40911800
2025-02-14,112.6500015258789,114.62999725341797,111.69999694824219,113.0999984741211,32477200
2025-02-18,114.05000305175781,115.55000305175781,113.44999694824219,114.27999877929688,31720300
2025-02-19,114.25,116.11000061035156,113.13999938964844,114.69000244140625,28807700
2025-02-20,115.01000213623047,116.55000305175781,113.11000061035156,114.16999816894531,27219600
2025-02-21,114.8499984741211,115.76000213623047,110.43000030517578,110.83999633789062,41353700
2025-02-24,111.48999786376953,111.5999984741211,107.9800033569336,108.11000061035156,29072200
2025-02-25,107.88999938964844,108.63999938964844,103.62000274658203,103.95999908447266,39169200
2025-02-26,104.94999694824219,105.80000305175781,103.98999786376953,104.73999786376953,29178200
2025-02-27,105.08000183105469,105.76000213623047,99.5,99.51000213623047,47263700
2025-02-28,99.55999755859375,101.80000305175781,98.69000244140625,99.86000061035156,45194600
2025-03-03,101.5199966430664,102.33999633789062,97.08999633789062,98.2300033569336,38958000
